

Front,Back,Tags
ο σκελετός,скелет<br>1️⃣ Ο σκελετός αποτελείται από 206 οστά. — Скелет состоит из 206 костей.<br>2️⃣ Η σπονδυλική στήλη είναι μέρος του σκελετού. — Позвоночник — часть скелета.,Day01_Soma
οι μύες,мышцы<br>1️⃣ Οι μύες βοηθούν στην κίνηση του σώματος. — Мышцы помогают движению тела.<br>2️⃣ Οι γυμναστικές ασκήσεις δυναμώνουν τους μύες. — Упражнения укрепляют мышцы.,Day01_Soma
το δέρμα,кожа<br>1️⃣ Το δέρμα προστατεύει το σώμα από τα μικρόβια. — Кожа защищает тело от микробов.<br>2️⃣ Το ηλιακό φως επηρεάζει την υγεία του δέρματος. — Солнечный свет влияет на здоровье кожи.,Day01_Soma
τα οστά,кости<br>1️⃣ Τα οστά είναι σκληρά και δίνουν σχήμα στο σώμα. — Кости твердые и придают телу форму.<br>2️⃣ Οι αρθρώσεις συνδέουν τα οστά μεταξύ τους. — Суставы соединяют кости друг с другом.,Day01_Soma
το νεύρο,нерв<br>1️⃣ Τα νεύρα μεταδίδουν σήματα στον εγκέφαλο. — Нервы передают сигналы в мозг.<br>2️⃣ Η ζημιά στα νεύρα προκαλεί απώλεια αίσθησης. — Повреждение нервов вызывает потерю чувствительности.,Day01_Soma
το κρανίο,череп<br>1️⃣ Το κρανίο προστατεύει τον εγκέφαλο. — Череп защищает мозг.<br>2️⃣ Οι αρχαιολόγοι βρήκαν ένα αρχαίο κρανίο. — Археологи нашли древний череп.,Day01_Soma
ο εγκέφαλος,мозг<br>1️⃣ Ο εγκέφαλος ελέγχει όλες τις λειτουργίες του σώματος. — Мозг контролирует все функции тела.<br>2️⃣ Η μάθηση βελτιώνει τη λειτουργία του εγκεφάλου. — Обучение улучшает работу мозга.,Day01_Soma
τα μάτια,глаза<br>1️⃣ Τα μάτια είναι υπεύθυνα για την όραση. — Глаза отвечают за зрение.<br>2️⃣ Οι φακοί βοηθούν στη διόρθωση της όρασης. — Линзы помогают скорректировать зрение.,Day01_Soma
τα αυτιά,уши<br>1️⃣ Τα αυτιά μας επιτρέπουν να ακούμε τους ήχους. — Уши позволяют нам слышать звуки.<br>2️⃣ Ο δυνατός θόρυβος μπορεί να προκαλέσει βλάβη στην ακοή. — Громкий шум может повредить слух.,Day01_Soma
η καρδιά,сердце<br>1️⃣ Η καρδιά χτυπάει περίπου 70 φορές το λεπτό. — Сердце бьется около 70 раз в минуту.<br>2️⃣ Η άσκηση ενισχύει την καρδιακή λειτουργία. — Физические упражнения укрепляют работу сердца.,Day02_Organa
οι πνεύμονες,лёгкие<br>1️⃣ Οι πνεύμονες γεμίζουν με αέρα όταν αναπνέουμε. — Лёгкие наполняются воздухом, когда мы дышим.<br>2️⃣ Το κάπνισμα βλάπτει τους πνεύμονες. — Курение вредит лёгким.,Day02_Organa
το ήπαρ,печень<br>1️⃣ Το ήπαρ καθαρίζει το αίμα από τις τοξίνες. — Печень очищает кровь от токсинов.<br>2️⃣ Οι ασθένειες του ήπατος είναι επικίνδυνες. — Болезни печени опасны.,Day02_Organa
τα νεφρά,почки<br>1️⃣ Τα νεφρά φιλτράρουν τα απόβλητα από το αίμα. — Почки фильтруют отходы из крови.<br>2️⃣ Η επαρκής κατανάλωση νερού βοηθά τα νεφρά να λειτουργούν σωστά. — Достаточное потребление воды помогает почкам работать правильно.,Day02_Organa
το στομάχι,желудок<br>1️⃣ Το στομάχι χωνεύει την τροφή. — Желудок переваривает пищу.<br>2️⃣ Το άγχος μπορεί να προκαλέσει πόνο στο στομάχι. — Стресс может вызвать боль в желудке.,Day02_Organa
το έντερο,кишечник<br>1️⃣ Το έντερο απορροφά τα θρεπτικά συστατικά. — Кишечник поглощает питательные вещества.<br>2️⃣ Οι ίνες βοηθούν στη σωστή λειτουργία του εντέρου. — Клетчатка помогает нормальной работе кишечника.,Day02_Organa
το πάγκρεας,поджелудочная железа<br>1️⃣ Το πάγκρεας παράγει ινσουλίνη. — Поджелудочная железа производит инсулин.<br>2️⃣ Οι διαταραχές του παγκρέατος επηρεάζουν το σάκχαρο. — Нарушения поджелудочной влияют на уровень сахара.,Day02_Organa
το αίμα,кровь<br>1️⃣ Το αίμα μεταφέρει οξυγόνο σε όλο το σώμα. — Кровь переносит кислород по всему телу.<br>2️⃣ Η αιμοδοσία σώζει ζωές. — Донорство крови спасает жизни.,Day02_Organa
το ανοσοποιητικό σύστημα,иммунная система<br>1️⃣ Το ανοσοποιητικό σύστημα προστατεύει από λοιμώξεις. — Иммунная система защищает от инфекций.<br>2️⃣ Η κακή διατροφή αποδυναμώνει το ανοσοποιητικό. — Неправильное питание ослабляет иммунитет.,Day02_Organa
η ιατρική ορολογία,медицинская терминология<br>1️⃣ Οι γιατροί χρησιμοποιούν ειδική ιατρική ορολογία. — Врачи используют специальную медицинскую терминологию.<br>2️⃣ Η γνώση ορολογίας βοηθά στην κατανόηση ιατρικών κειμένων. — Знание терминов помогает понимать медицинские тексты.,Day03_Iatriki
η διάγνωση,диагноз<br>1️⃣ Η σωστή διάγνωση είναι σημαντική για τη θεραπεία. — Правильный диагноз важен для лечения.<br>2️⃣ Ο γιατρός έκανε διάγνωση πνευμονίας. — Врач поставил диагноз пневмония.,Day03_Iatriki
η θεραπεία,лечение<br>1️⃣ Η θεραπεία διαρκεί τρεις εβδομάδες. — Лечение длится три недели.<br>2️⃣ Υπάρχουν διάφορες μέθοδοι θεραπείας. — Существуют разные методы лечения.,Day03_Iatriki
η πρόληψη,профилактика<br>1️⃣ Η πρόληψη είναι καλύτερη από τη θεραπεία. — Профилактика лучше лечения.<br>2️⃣ Οι τακτικοί έλεγχοι συμβάλλουν στην πρόληψη ασθενειών. — Регулярные проверки помогают предотвращать болезни.,Day03_Iatriki
η εξέταση,медицинское обследование<br>1️⃣ Ο γιατρός συνέστησε ιατρική εξέταση. — Врач порекомендовал медицинское обследование.<br>2️⃣ Οι εξετάσεις αίματος δείχνουν τη γενική κατάσταση της υγείας. — Анализы крови показывают общее состояние здоровья.,Day03_Iatriki
ο ασθενής,пациент<br>1️⃣ Ο ασθενής περιμένει τον γιατρό. — Пациент ждёт врача.<br>2️⃣ Οι ασθενείς πρέπει να τηρούν τις οδηγίες. — Пациенты должны соблюдать указания.,Day03_Iatriki
το σύμπτωμα,симптом<br>1️⃣ Ο βήχας είναι σύμπτωμα κρυολογήματος. — Кашель — симптом простуды.<br>2️⃣ Ο γιατρός ζήτησε περιγραφή των συμπτωμάτων. — Врач попросил описать симптомы.,Day04_Pathiseis
ο πυρετός,жар<br>1️⃣ Ο πυρετός είναι ένδειξη λοίμωξης. — Жар — признак инфекции.<br>2️⃣ Η υψηλή θερμοκρασία χρειάζεται παρακολούθηση. — Высокая температура требует наблюдения.,Day04_Pathiseis
ο βήχας,кашель<br>1️⃣ Ο ξηρός βήχας είναι κοινός σε ιώσεις. — Сухой кашель распространён при вирусах.<br>2️⃣ Το σιρόπι βοηθά στην ανακούφιση του βήχα. — Сироп помогает облегчить кашель.,Day04_Pathiseis
η λοίμωξη,инфекция<br>1️⃣ Η λοίμωξη προκαλείται από βακτήρια ή ιούς. — Инфекция вызывается бактериями или вирусами.<br>2️⃣ Τα αντιβιοτικά καταπολεμούν τις βακτηριακές λοιμώξεις. — Антибиотики борются с бактериальными инфекциями.,Day04_Pathiseis
ο πόνος,боль<br>1️⃣ Ο πόνος στο στήθος πρέπει να ελέγχεται αμέσως. — Боль в груди нужно проверить сразу.<br>2️⃣ Τα παυσίπονα μειώνουν τον πόνο. — Обезболивающие уменьшают боль.,Day04_Pathiseis
